objectid,parentid,anthology,title,creator,date,subject,startpage,genre,publisher,display_template,object_location,image_small,image_thumb,location,latitude,longitude,authorbio,authorborn
blacklesbianauthor218,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),The Tired Poem: Last Letter From a Typical (Unemployed) Black Professional Woman,Kate Rushin,1979,,287,poem,,image/jpeg,/objects/blacklesbianauthor218.jpeg,/objects/small/blacklesbianauthor218_sm.jpeg,/objects/thumbs/blacklesbianauthor218_th.jpeg,,,,,
blacklesbianauthor227,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),"""Under the Days"":The Buried Life and Poetry of Angeline Weld Grimké",Akasha Gloria T. Hull,1979,,87,essay,,image/jpeg,/objects/blacklesbianauthor227.jpeg,/object/small/blacklesbianauthor227_sm.jpeg,/objects/thumbs/blacklesbianauthor227_th.jpeg,,,,,
blacklesbianauthor228,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),What It Is I Think She's Doing Anyhow: A Reading of Toni Cade Bambara's _The Salt Eaters,Akasha Gloria T. Hull,1983,,145,essay,,image/jpeg,/objects/blacklesbianauthor228.jpeg,/object/small/blacklesbianauthor228_sm.jpeg,/objects/thumbs/blacklesbianauthor228_th.jpeg,,,,,
blacklesbianauthor229,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Poem,Akasha Gloria T. Hull,1979,,-69,poem,,image/jpeg,/objects/blacklesbianauthor229.jpeg,/object/small/blacklesbianauthor229_sm.jpeg,/objects/thumbs/blacklesbianauthor229_th.jpeg,,,,,
blacklesbianauthor230,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),The Sisters,Alexis De Veaux,1979,,11,short story,,image/jpeg,/objects/blacklesbianauthor230.jpeg,/object/small/blacklesbianauthor230_sm.jpeg,/objects/thumbs/blacklesbianauthor230_th.jpeg,,,,,
blacklesbianauthor231,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),The Black Lesbian in American Literature: An Overview,Ann Allen Shockley,1979,,99,essay,,image/jpeg,/objects/blacklesbianauthor231.jpeg,/object/small/blacklesbianauthor231_sm.jpeg,/objects/thumbs/blacklesbianauthor231_th.jpeg,,,,,
blacklesbianauthor232,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Tar Beach,Audre Lorde,1979,,169,short story,,image/jpeg,/objects/blacklesbianauthor232.jpeg,/object/small/blacklesbianauthor232_sm.jpeg,/objects/thumbs/blacklesbianauthor232_th.jpeg,,,,,
blacklesbianauthor233,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Introduction,Barbara Smith,1983,,-25,introduction,,image/jpeg,/objects/blacklesbianauthor233.jpeg,/object/small/blacklesbianauthor233_sm.jpeg,/objects/thumbs/blacklesbianauthor233_th.jpeg,,,,,
blacklesbianauthor234,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Home,Barbara Smith,1983,,77,essay,,image/jpeg,/objects/blacklesbianauthor234.jpeg,/object/small/blacklesbianauthor234_sm.jpeg,/objects/thumbs/blacklesbianauthor234_th.jpeg,,,,,
blacklesbianauthor235,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Miss Esther's Land,Barbara A. Banks,1983,,201,short story,,image/jpeg,/objects/blacklesbianauthor235.jpeg,/object/small/blacklesbianauthor235_sm.jpeg,/objects/thumbs/blacklesbianauthor235_th.jpeg,,,,,
blacklesbianauthor236,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Maria de las Rosas,Becky Birtha,1979,,199,poem,,image/jpeg,/objects/blacklesbianauthor236.jpeg,/object/small/blacklesbianauthor236_sm.jpeg,/objects/thumbs/blacklesbianauthor236_th.jpeg,,,,,
blacklesbianauthor237,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),The Wedding,Beverly Smith,1979,,191,essay,,image/jpeg,/objects/blacklesbianauthor237.jpeg,/object/small/blacklesbianauthor237_sm.jpeg,/objects/thumbs/blacklesbianauthor237_th.jpeg,,,,,
blacklesbianauthor238,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),"The Blood—Yes, The Blood: A Conversation",Cenen; Barbara Smith,1983,,35,conversation,,image/jpeg,/objects/blacklesbianauthor238.jpeg,/object/small/blacklesbianauthor238_sm.jpeg,/objects/thumbs/blacklesbianauthor238_th.jpeg,,,,,
blacklesbianauthor239,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),The Failure to Transform: Homophobia in the Black Community,Cheryl Clarke,1983,,223,essay,,image/jpeg,/objects/blacklesbianauthor239.jpeg,/object/small/blacklesbianauthor239_sm.jpeg,/objects/thumbs/blacklesbianauthor239_th.jpeg,,,,,
blacklesbianauthor240,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Women of Summer,Cheryl Clarke,1979,,259,short story,,image/jpeg,/objects/blacklesbianauthor240.jpeg,/object/small/blacklesbianauthor240_sm.jpeg,/objects/thumbs/blacklesbianauthor240_th.jpeg,,,,,
blacklesbianauthor241,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Billy de Lye,Deidre McCalla,1976,,305,poem,,image/jpeg,/objects/blacklesbianauthor241.jpeg,/object/small/blacklesbianauthor241_sm.jpeg,/objects/thumbs/blacklesbianauthor241_th.jpeg,,,,,
blacklesbianauthor242,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Before I Dress and Soar Again,Donna Allegra,1983,,185,poem,,image/jpeg,/objects/blacklesbianauthor242.jpeg,/object/small/blacklesbianauthor242_sm.jpeg,/objects/thumbs/blacklesbianauthor242_th.jpeg,,,,,
blacklesbianauthor243,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),A Cultural Legacy Denied and Discovered: Black Lesbians in Fiction by Women,Jewelle Gomez,1983,,129,essay,,image/jpeg,/objects/blacklesbianauthor243.jpeg,/object/small/blacklesbianauthor243_sm.jpeg,/objects/thumbs/blacklesbianauthor243_th.jpeg,,,,,
blacklesbianauthor245,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),The Black Goddess,Kate Rushin,1983,,367,poem,,image/jpeg,/objects/blacklesbianauthor245.jpeg,/object/small/blacklesbianauthor245_sm.jpeg,/objects/thumbs/blacklesbianauthor245_th.jpeg,,,,,
blacklesbianauthor246,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),"If I Could Write This in Fire, I Would Write This in Fire ",Michelle Cliff,1983,,17,essay,,image/jpeg,/objects/blacklesbianauthor246.jpeg,/object/small/blacklesbianauthor246_sm.jpeg,/objects/thumbs/blacklesbianauthor246_th.jpeg,,,,,
blacklesbianauthor247,anthology010,Home Girls: A Black Feminist Anthology (40th anniversary edition),Where Will You Be?,Pat Parker,1978,,237,poem,,image/jpeg,/objects/blacklesbianauthor247.jpeg,/object/small/blacklesbianauthor247_sm.jpeg,/objects/thumbs/blacklesbianauthor247_th.jpeg,,,,,
