objectid,title,authorname,yearfirstpublished,display_template,subject,location,latitude,longitude,object_location,anthology01,anth01year,anth01startpage,anth01editor,anth01press,anthology02,anth02year,anth02startpage,anth02editor,anth02press,anthology03,anth03year,anth03startpage,Anth02Editor,anth03press,authorbio,authorborn,authorphoto
blacklesbianauthor001,Dear Aunt Nanadine,Alexis De Veaux,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,79,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor002,Today Is Not the Day,Audre Lorde,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,305,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor003,The Old Lady,Carolivia Herron,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,101,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor004,Ruby,Cynthia Bond,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,229,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor005,Ode to Aretha,Evelyn C. White,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,295,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor006,Water Call,Helen Elaine Lee,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,49,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor007,Queen for 307 Days,Jackie Goldsby,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,165,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor008,"Tuesday, August Third",Jacqueline Woodson,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,63,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor009,Kaleidoscope,Jamika Ajalon,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,139,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
blacklesbianauthor010,Work of an Eye,Jewelle Gomez,,record,,,,,,Afrekete: An Anthology of Black Lesbian Writing,1995,125,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
