anthology,title,creator,date,startpage
Piece Of My Heart: A Lesbian of Colour Anthology,Dear Aunt Nanadine,Alexis De Veaux,1982,79
Piece Of My Heart: A Lesbian of Colour Anthology,Today Is Not the Day,Audre Lorde,1993,305
Piece Of My Heart: A Lesbian of Colour Anthology,The Old Lady,Carolivia Herron,1994,101
Piece Of My Heart: A Lesbian of Colour Anthology,Ruby,Cynthia Bond,1994,229
Piece Of My Heart: A Lesbian of Colour Anthology,Ode to Aretha,Evelyn C. White,1994,295
Piece Of My Heart: A Lesbian of Colour Anthology,Water Call,Helen Elaine Lee,1994,49
Piece Of My Heart: A Lesbian of Colour Anthology,Queen for 307 Days,Jackie Goldsby,1993,165
Piece Of My Heart: A Lesbian of Colour Anthology,"Tuesday, August Third",Jacqueline Woodson,1994,63
Piece Of My Heart: A Lesbian of Colour Anthology,Kaleidoscope,Jamika Ajalon,1994,139
Piece Of My Heart: A Lesbian of Colour Anthology,Wink of an Eye,Jewelle Gomez,1993,125
Piece Of My Heart: A Lesbian of Colour Anthology,Testimony of a Naked Woman,Jocelyn Maria Taylor,1994,29
Piece Of My Heart: A Lesbian of Colour Anthology,Revelations,Linda Villarosa,1995,215
Piece Of My Heart: A Lesbian of Colour Anthology,What Has Yet to Be Sung,Malkia Cyril,1992,97
Piece Of My Heart: A Lesbian of Colour Anthology,Dare,Melanie Hope,1994,255
Piece Of My Heart: A Lesbian of Colour Anthology,Screen Memory,Michelle Cliff,1990,195
Piece Of My Heart: A Lesbian of Colour Anthology,Odds and Ends,Michelle Parkerson,1983,89
Piece Of My Heart: A Lesbian of Colour Anthology,American Dream,Sapphire,1994,19
Piece Of My Heart: A Lesbian of Colour Anthology,Take Care,Sharee Nash,1994,271
But Some Of Us Are Brave: Black Women's Studies (1ed),Researching Alice Dunbar-Nelson: A Personal and Literary Persepective,Akasha Gloria T. Hull,1981,189
But Some Of Us Are Brave: Black Women's Studies (1ed),Introduction: The Politics of Black Women's Studies,Akasha Gloria T. Hull; Barbara Smith,1982,-17
But Some Of Us Are Brave: Black Women's Studies (1ed),Toward a Black Feminist Criticism,Barbara Smith,1977,157
But Some Of Us Are Brave: Black Women's Studies (1ed),Racism and Women's Studies,Barbara Smith,1979,48
But Some Of Us Are Brave: Black Women's Studies (1ed),Black Women's Health: Notes for a Course,Beverly Smith,1982,103
But Some Of Us Are Brave: Black Women's Studies (1ed),"Face-to-Face, Day-to-Day—Racism CR",Tia Cross; Freada Klein; Barbara Smith; Beverly Smith,1983,52
does your mama know? An Anthology of Black Lesbian Coming Out Stories,notes to mamma,akhaji zakiya,1991,209
does your mama know? An Anthology of Black Lesbian Coming Out Stories,the lesbian poem,akhaji zakiya,1994,261
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Bird of Paradise,Alexis De Veaux,1992,45
does your mama know? An Anthology of Black Lesbian Coming Out Stories,A Letter for Life,Arlene Williams,1995,17
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Johnnieruth,Becky Birtha,1987,143
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Be Still and Know,Brigitte M. Roberts,1993,37
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Mavis writes in her journal,Cheryl Clarke,1982,185
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Halfway Home: Interview with Katherine James,Denise Moore,1997,105
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Waiting to Exhale: Interview with Gina Taylor,Denise A. Moore,1997,271
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Lavender Sheep in the Fold,Donna Allegra,1995,149
does your mama know? An Anthology of Black Lesbian Coming Out Stories,The Journey,Ekua Omosupe,1991,233
does your mama know? An Anthology of Black Lesbian Coming Out Stories,we will not talk about this,Eva Yaa Asantewaa ,1994,281
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Bed of Thorns,"Gale ""Sky"" Edeawo",1991,41
does your mama know? An Anthology of Black Lesbian Coming Out Stories,1985: Memories of My Coming Out Year,Hope Massiah,1995,5
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Bits and Pieces,Imani Henry,1996,49
does your mama know? An Anthology of Black Lesbian Coming Out Stories,I Lost It at the Movies,Jewelle Gomez,1993,123
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Q & A,Karen Thompson,1994,223
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Mommy Always Knows,"Kimberly ""Q"" Purnell",1995,195
does your mama know? An Anthology of Black Lesbian Coming Out Stories,It Happened One Sunday Afternoon,L.K. Barnett,1995,139
does your mama know? An Anthology of Black Lesbian Coming Out Stories,"Black Triangles, Rainbows and Dykes",L.K. Barnett,1995,67
does your mama know? An Anthology of Black Lesbian Coming Out Stories,From a Lesbian Womb Into a Lesbian World: Coming Out,Laura Irene Wayne,1995,103
does your mama know? An Anthology of Black Lesbian Coming Out Stories,When I Was a Little Girl,Lena Nsomeka Gomes,1996,283
does your mama know? An Anthology of Black Lesbian Coming Out Stories,"Me, Growing Up, (part 1)",Letta Neely,1995,187
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Without Thinking,Liza Messerly,1995,291
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Class Reunion,Liza Wesley,195,73
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Man Royals and Sodomites: Some Thoughts on the Invisibility of Afro-Carribean Leesbians,Makeda Silvera,1988,171
does your mama know? An Anthology of Black Lesbian Coming Out Stories,A Path to Wholenesss,Martine C. Barbier,1995,21
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Spice,Mattie Richardson,1994,225
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Coming Out Story,Michelle Hunter,1996,93
does your mama know? An Anthology of Black Lesbian Coming Out Stories,This Is Not Done,Michelle Hunter,1996,253
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Letter to Carolyn,Michelle Wilkinson,1997,161
does your mama know? An Anthology of Black Lesbian Coming Out Stories,cabaret,mistinguette,1994,71
does your mama know? An Anthology of Black Lesbian Coming Out Stories,You ask why I stayed married all those years,mistinguette,1988,293
does your mama know? An Anthology of Black Lesbian Coming Out Stories,untitled,Nailah Taliba Tulinegwe,1996,265
does your mama know? An Anthology of Black Lesbian Coming Out Stories,untitled (4/'91),Renita Martin,1993,269
does your mama know? An Anthology of Black Lesbian Coming Out Stories,The Woman in Me,Roxanne Gay,1996,245
does your mama know? An Anthology of Black Lesbian Coming Out Stories,that beat,sharon bridgforth,1992,227
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Mothers Know,Shay Youngblood,1985,197
does your mama know? An Anthology of Black Lesbian Coming Out Stories,The Making of an Orphan: the death of a daughter's place in the family,sherece taffe,1995,237
does your mama know? An Anthology of Black Lesbian Coming Out Stories,And Now They Know,Sheree Slaughter,1991,35
does your mama know? An Anthology of Black Lesbian Coming Out Stories,No Half Steppin',Shilanda Woolridge,1995,203
does your mama know? An Anthology of Black Lesbian Coming Out Stories,A Short Account of My Behavior,Terri Jewell,1995,31
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Interview with Stephanie Byrd,Terri Jewell,1995,129
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Miss Ruth,Terri Jewell,1990,189
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Long Way Home,Tiffany Frazier,1995,165
does your mama know? An Anthology of Black Lesbian Coming Out Stories,I Guess I Never Will,Tonda Clarke,1995,117
does your mama know? An Anthology of Black Lesbian Coming Out Stories,Pure,Tonia Bryan,1994,213
does your mama know? An Anthology of Black Lesbian Coming Out Stories,"The Words I Know, the Way I Understand",Tonia Bryan,1995,249
